Id,State,PercentCurrent,AreaCurrent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,ReleaseDate
8612685,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,2/25/03
8612686,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,2/25/03
8612687,NE,22.57,127.2,0,0,1,4,D3  ,Adams County,563.54,2/25/03
8621975,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,3/4/03
8621976,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,3/4/03
8621977,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,3/4/03
8621978,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,3/4/03
8631353,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,3/11/03
8631354,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,3/11/03
8631355,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,3/11/03
8631356,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,3/11/03
8640896,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,3/18/03
8640897,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,3/18/03
8640898,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,3/18/03
8640899,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,3/18/03
8650414,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,3/25/03
8650415,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,3/25/03
8650416,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,3/25/03
8650417,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,3/25/03
8659875,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,4/1/03
8659876,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,4/1/03
8659877,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,4/1/03
8659878,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,4/1/03
8669242,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,4/8/03
8669243,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,4/8/03
